cmpcode,code,name,sname,elmlevel,adddate,deldate,endperiod,endyear,country,defaddr
MSO,V0060,Integrated Diagnostics Ltd 2842,INTEGRATED,3,2025-04-08,,0,0,USA,1
FDN,V0060,Integrated Diagnostics Ltd 2842,INTEGRATED,3,2025-04-08,,0,0,USA,1
MSO,V0061,Integrated Associates LP 0585,INTEGRATED,3,2023-07-06,,0,0,USA,1
MSO,V0062,Vertex Property Mgmt Inc 1231,VERTEX,3,2020-08-09,,0,0,USA,1
FDN,V0062,Vertex Property Mgmt Inc 1231,VERTEX,3,2020-08-09,,0,0,USA,1
MSO,V0063,Ironwood Building Maintenance Group 3342,IRONWOOD,3,2024-09-28,,0,0,USA,1
FDN,V0063,Ironwood Building Maintenance Group 3342,IRONWOOD,3,2024-09-28,,0,0,USA,1
MSO,V0064,Apex Locum Partners LLC 2825,APEX,3,2024-01-11,,0,0,GBR,1
MSO,V0065,Summit Partners LLP Corp 1520,SUMMIT,3,2019-07-16,,0,0,USA,1
FDN,V0065,Summit Partners LLP Corp 1520,SUMMIT,3,2019-07-16,,0,0,USA,1
MSO,V0066,Integrated Property Mgmt LLC 1658,INTEGRATED,3,2020-12-25,,0,0,USA,1
FDN,V0066,Integrated Property Mgmt LLC 1658,INTEGRATED,3,2020-12-25,,0,0,USA,1
MSO,V0067,Apex Facilities Services Co 3099,APEX,3,2024-11-28,,0,0,USA,1
FDN,V0067,Apex Facilities Services Co 3099,APEX,3,2024-11-28,,0,0,USA,1
FDN,V0068,Meridian Clinical Reagents Inc 0547,MERIDIAN,3,2021-06-15,,0,0,USA,1
MSO,V0069,Coastal Drug Supply Group 2704,COASTAL,3,2019-04-07,2022-10-25,4,2023,USA,1
FDN,V0069,Coastal Drug Supply Group 2704,COASTAL,3,2019-04-07,,0,0,USA,1
MSO,V0070,Northgate Technology Group LLC 2020,NORTHGATE,3,2023-03-24,,0,0,USA,1
FDN,V0070,Northgate Technology Group LLC 2020,NORTHGATE,3,2023-03-24,,0,0,USA,1
MSO,V0071,Sterling Diagnostics Group 1400,STERLING,3,2025-04-16,,0,0,USA,1
MSO,V0072,Trinity Technology Group Holdings 2403,TRINITY,3,2022-11-23,2024-01-19,7,2024,USA,1
FDN,V0073,National Office Supply LLC 2458,NATIONAL,3,2025-10-29,,0,0,USA,1
MSO,V0074,Granite Lab Solutions Inc 3156,GRANITE,3,2019-10-19,,0,0,USA,1
MSO,V0075,Southpoint Biologics LP 2396,SOUTHPOINT,3,2023-09-03,,0,0,USA,1
MSO,V0076,Regional Diagnostics Supply Holdings 0186,REGIONAL,3,2023-07-19,,0,0,DEU,1
MSO,V0077,Liberty BioSupply Corp 2528,LIBERTY,3,2025-11-20,,0,0,USA,1
FDN,V0077,Liberty BioSupply Corp 2528,LIBERTY,3,2025-11-20,,0,0,USA,1
MSO,V0078,Keystone Advisory Partners Ltd 1628,KEYSTONE,3,2022-08-25,,0,0,USA,1
FDN,V0078,Keystone Advisory Partners Ltd 1628,KEYSTONE,3,2022-08-25,,0,0,USA,1
MSO,V0079,Granite Mechanical Group LLC 2940,GRANITE,3,2024-10-02,,0,0,NLD,1
MSO,V0080,Sterling Print Services Ltd 1811,STERLING,3,2020-01-07,,0,0,USA,1
MSO,V0081,Cardinal Associates Inc 3209,CARDINAL,3,2019-04-24,,0,0,DEU,1
MSO,V0082,Continental Software Solutions Holdings 2430,CONTINENTA,3,2024-01-06,,0,0,USA,1
FDN,V0083,Southpoint Print Services Inc 0114,SOUTHPOINT,3,2019-01-10,,0,0,USA,1
MSO,V0084,Reliable Implant Solutions LLC 0442,RELIABLE,3,2025-02-14,,0,0,USA,1
MSO,V0085,Reliable RX Wholesale Co 1490,RELIABLE,3,2019-02-23,,0,0,USA,1
FDN,V0085,Reliable RX Wholesale Co 1490,RELIABLE,3,2019-02-23,,0,0,USA,1
MSO,V0086,Continental Drug Supply Inc 0646,CONTINENTA,3,2023-10-26,,0,0,USA,1
MSO,V0087,Premier Locum Partners Co 2106,PREMIER,3,2022-03-01,,0,0,USA,1
MSO,V0088,Granite Environmental Svcs LLC 0792,GRANITE,3,2023-07-08,2025-08-18,2,2026,USA,1
FDN,V0088,Granite Environmental Svcs LLC 0792,GRANITE,3,2023-07-08,,0,0,USA,1
MSO,V0089,Keystone MedTech Inc 3292,KEYSTONE,3,2023-05-13,,0,0,USA,1
MSO,V0090,Vanguard Environmental Svcs Ltd 2803,VANGUARD,3,2022-02-09,,0,0,USA,1
MSO,V0091,Highland MedTech Ltd 3283,HIGHLAND,3,2022-05-15,,0,0,USA,1
FDN,V0092,Integrated Professional Services Ltd 0601,INTEGRATED,3,2022-07-10,,0,0,USA,1
MSO,V0093,Allied Software Solutions LLC 0480,ALLIED,3,2023-09-27,,0,0,USA,1
MSO,V0094,Integrated Cloud Services Co 1525,INTEGRATED,3,2023-12-21,,0,0,USA,1
FDN,V0094,Integrated Cloud Services Co 1525,INTEGRATED,3,2023-12-21,,0,0,USA,1
FDN,V0095,Bluegrass Lab Solutions Corp 0599,BLUEGRASS,3,2022-02-23,,0,0,USA,1
MSO,V0096,Ironwood Advisory Partners Corp 0930,IRONWOOD,3,2021-06-19,,0,0,USA,1
FDN,V0096,Ironwood Advisory Partners Corp 0930,IRONWOOD,3,2021-06-19,,0,0,USA,1
FDN,V0097,Meridian Software Solutions Co 2833,MERIDIAN,3,2019-04-19,,0,0,USA,1
MSO,V0098,Pinnacle Pharma Distribution Group 1624,PINNACLE,3,2024-06-14,,0,0,USA,1
FDN,V0098,Pinnacle Pharma Distribution Group 1624,PINNACLE,3,2024-06-14,,0,0,USA,1
FDN,V0099,Granite MedTech Co 2986,GRANITE,3,2020-08-01,,0,0,USA,1
FDN,V0100,Paramount Power & Light Corp 1843,PARAMOUNT,3,2022-01-14,,0,0,USA,1
FDN,V0101,Premier Hospitality Group Ltd 0497,PREMIER,3,2025-12-12,,0,0,USA,1
FDN,V0102,Paramount Professional Services Ltd 2609,PARAMOUNT,3,2024-06-28,,0,0,USA,1
MSO,V0103,Highland Laboratory Supply Corp 2382,HIGHLAND,3,2021-06-03,,0,0,IRL,1
FDN,V0104,Reliable Gas Company LLC 0572,RELIABLE,3,2022-04-28,,0,0,USA,1
MSO,V0105,Frontier Workforce Solutions Group 1929,FRONTIER,3,2021-04-10,,0,0,USA,1
FDN,V0106,Cardinal Workforce Solutions Corp 0809,CARDINAL,3,2023-05-20,,0,0,USA,1
MSO,V0107,Keystone Health IT Ltd 2253,KEYSTONE,3,2020-01-26,,0,0,USA,1
MSO,V0108,Precision Clinical Reagents Co 2151,PRECISION,3,2025-08-31,,0,0,USA,1
MSO,V0109,Frontier Pharmaceuticals Inc 1334,FRONTIER,3,2025-11-28,,0,0,USA,1
MSO,V0110,Sterling Travel Services LLC 3481,STERLING,3,2021-02-02,,0,0,USA,1
MSO,V0111,Summit Software Solutions Inc 3368,SUMMIT,3,2020-08-12,,0,0,USA,1
MSO,V0112,Trinity Diagnostics Co 3305,TRINITY,3,2022-10-10,,0,0,USA,1
FDN,V0113,Lakeshore Laboratory Supply Corp 1652,LAKESHORE,3,2023-07-12,,0,0,USA,1
FDN,V0114,Advanced Partners LLP LP 2164,ADVANCED,3,2023-07-04,,0,0,USA,1
MSO,V0115,Reliable Implant Solutions Ltd 0584,RELIABLE,3,2019-04-18,,0,0,USA,1
FDN,V0115,Reliable Implant Solutions Ltd 0584,RELIABLE,3,2019-04-18,,0,0,USA,1
MSO,V0116,Heritage Business Products LLC 2545,HERITAGE,3,2023-12-23,,0,0,USA,1
FDN,V0116,Heritage Business Products LLC 2545,HERITAGE,3,2023-12-23,,0,0,USA,1
MSO,V0117,Precision Clinical Staffing Ltd 1389,PRECISION,3,2019-06-19,,0,0,USA,1
FDN,V0118,Coastal Staffing Group Group 0182,COASTAL,3,2021-05-24,,0,0,USA,1
FDN,V0119,United Cloud Services Corp 3486,UNITED,3,2024-01-07,,0,0,USA,1
MSO,V0120,Precision Advisory Partners Co 0833,PRECISION,3,2025-03-17,,0,0,USA,1
FDN,V0121,Precision Advisory Partners Co 3195,PRECISION,3,2023-06-12,,0,0,USA,1
FDN,V0122,Northgate Professional Services LLC 0386,NORTHGATE,3,2020-02-13,2023-04-23,10,2023,USA,1
FDN,V0123,National Drug Supply LP 1376,NATIONAL,3,2023-10-05,,0,0,USA,1
MSO,V0124,Advanced Software Solutions Inc 2987,ADVANCED,3,2019-04-05,,0,0,USA,1
MSO,V0125,Beacon Drug Supply Inc 2315,BEACON,3,2020-08-13,,0,0,USA,1
FDN,V0125,Beacon Drug Supply Inc 2315,BEACON,3,2020-08-13,,0,0,USA,1
MSO,V0126,Dominion Building Maintenance Corp 2635,DOMINION,3,2019-11-13,,0,0,USA,1
MSO,V0127,Continental Clinical Reagents LLC 2798,CONTINENTA,3,2025-11-22,,0,0,USA,1
FDN,V0127,Continental Clinical Reagents LLC 2798,CONTINENTA,3,2025-11-22,2025-12-31,6,2026,USA,1
MSO,V0128,Cascade Diagnostics Inc 1035,CASCADE,3,2021-07-30,,0,0,USA,1
FDN,V0128,Cascade Diagnostics Inc 1035,CASCADE,3,2021-07-30,,0,0,USA,1
MSO,V0129,Sterling Diagnostics Co 0374,STERLING,3,2022-11-28,,0,0,USA,1
MSO,V0130,Bluegrass Advisory Partners Co 2352,BLUEGRASS,3,2024-07-13,,0,0,USA,1
FDN,V0130,Bluegrass Advisory Partners Co 2352,BLUEGRASS,3,2024-07-13,2025-12-31,6,2026,USA,1
MSO,V0131,Vanguard Medical Devices LLC 3194,VANGUARD,3,2025-10-14,,0,0,USA,1
FDN,V0131,Vanguard Medical Devices LLC 3194,VANGUARD,3,2025-10-14,,0,0,USA,1
FDN,V0132,Liberty Conference Group LP 2066,LIBERTY,3,2025-12-19,,0,0,USA,1
MSO,V0133,Trinity Professional Services Ltd 0589,TRINITY,3,2020-02-24,,0,0,USA,1
MSO,V0134,Paramount Laboratory Supply Holdings 2089,PARAMOUNT,3,2021-10-03,,0,0,USA,1
FDN,V0134,Paramount Laboratory Supply Holdings 2089,PARAMOUNT,3,2021-10-03,,0,0,USA,1
FDN,V0135,Apex Consulting Group Group 1622,APEX,3,2021-11-01,,0,0,USA,1
MSO,V0136,Integrated Drug Supply Ltd 0861,INTEGRATED,3,2024-07-28,,0,0,USA,1
FDN,V0137,Metro Travel Services Corp 2383,METRO,3,2021-05-08,,0,0,USA,1
FDN,V0138,Sentinel Mechanical Group Co 1267,SENTINEL,3,2020-08-14,,0,0,USA,1
MSO,V0139,Granite Print Services Inc 3070,GRANITE,3,2024-04-13,,0,0,USA,1
MSO,V0140,Sterling Pharma Distribution Holdings 0000,STERLING,3,2022-06-19,,0,0,USA,1
FDN,V0140,Sterling Pharma Distribution Holdings 0000,STERLING,3,2022-06-19,,0,0,USA,1
MSO,V0141,Cascade Mechanical Group Inc 0099,CASCADE,3,2024-03-25,,0,0,USA,1
FDN,V0142,Brightline Facilities Services Holdings 1089,BRIGHTLINE,3,2021-08-29,,0,0,USA,1
FDN,V0143,Ironwood Hospitality Group LP 1861,IRONWOOD,3,2022-05-28,,0,0,USA,1
MSO,V0144,Keystone Associates LLC 2296,KEYSTONE,3,2019-01-24,,0,0,USA,1
MSO,V0145,Granite Property Mgmt Group 1695,GRANITE,3,2019-02-11,,0,0,USA,1
FDN,V0145,Granite Property Mgmt Group 1695,GRANITE,3,2019-02-11,,0,0,USA,1
FDN,V0146,Sterling BioSupply Corp 0793,STERLING,3,2019-01-01,,0,0,USA,1
FDN,V0147,Dominion Clinical Reagents Co 0877,DOMINION,3,2020-03-23,,0,0,USA,1
FDN,V0148,Premier Facilities Services Group 1402,PREMIER,3,2021-06-07,,0,0,USA,1
MSO,V0149,Frontier Software Solutions LLC 1129,FRONTIER,3,2019-05-09,2020-02-07,8,2020,USA,1
FDN,V0149,Frontier Software Solutions LLC 1129,FRONTIER,3,2019-05-09,,0,0,USA,1
MSO,V0150,Vanguard Pharmaceuticals LP 0130,VANGUARD,3,2020-02-15,,0,0,USA,1
FDN,V0150,Vanguard Pharmaceuticals LP 0130,VANGUARD,3,2020-02-15,,0,0,USA,1
MSO,V0151,Regional General Supply Co 2274,REGIONAL,3,2024-12-04,,0,0,USA,1
MSO,V0152,Crescent Office Supply Co 1167,CRESCENT,3,2024-12-24,,0,0,USA,1
FDN,V0153,Keystone MedTech LP 1860,KEYSTONE,3,2021-01-10,,0,0,USA,1
MSO,V0154,Liberty Environmental Svcs LLC 0957,LIBERTY,3,2025-08-16,,0,0,USA,1
FDN,V0154,Liberty Environmental Svcs LLC 0957,LIBERTY,3,2025-08-16,,0,0,USA,1
MSO,V0155,United Surgical Systems Co 3391,UNITED,3,2019-10-29,,0,0,USA,1
FDN,V0155,United Surgical Systems Co 3391,UNITED,3,2019-10-29,,0,0,USA,1
MSO,V0156,Harbor Partners LLP Ltd 1582,HARBOR,3,2019-03-22,,0,0,USA,1
MSO,V0157,Southpoint Lab Solutions Co 0280,SOUTHPOINT,3,2021-06-24,,0,0,USA,1
FDN,V0157,Southpoint Lab Solutions Co 0280,SOUTHPOINT,3,2021-06-24,,0,0,USA,1
MSO,V0158,Evergreen Professional Services Inc 1085,EVERGREEN,3,2020-11-07,,0,0,USA,1
MSO,V0159,Keystone Staffing Group Corp 1026,KEYSTONE,3,2019-07-17,,0,0,USA,1
FDN,V0160,Beacon Locum Partners Ltd 1829,BEACON,3,2024-12-06,,0,0,CAN,1
MSO,V0161,Vertex Implant Solutions LP 1169,VERTEX,3,2025-11-06,2025-12-31,6,2026,USA,1
FDN,V0162,Brightline Hospitality Group LP 3286,BRIGHTLINE,3,2020-11-22,,0,0,USA,1
FDN,V0163,Coastal Clinical Reagents Corp 2886,COASTAL,3,2021-03-16,,0,0,USA,1
MSO,V0164,Trinity Biologics LP 2920,TRINITY,3,2024-01-11,,0,0,USA,1
FDN,V0164,Trinity Biologics LP 2920,TRINITY,3,2024-01-11,,0,0,USA,1
MSO,V0165,Coastal Building Maintenance Co 3417,COASTAL,3,2025-07-12,,0,0,USA,1
FDN,V0165,Coastal Building Maintenance Co 3417,COASTAL,3,2025-07-12,,0,0,USA,1
MSO,V0166,Allied Software Solutions LP 0905,ALLIED,3,2021-01-03,,0,0,USA,1
FDN,V0167,Regional General Supply Ltd 0805,REGIONAL,3,2023-10-12,,0,0,USA,1
MSO,V0168,Southpoint Office Supply LLC 2243,SOUTHPOINT,3,2019-03-01,,0,0,USA,1
FDN,V0168,Southpoint Office Supply LLC 2243,SOUTHPOINT,3,2019-03-01,,0,0,USA,1
MSO,V0169,Crescent Diagnostics Supply Ltd 2950,CRESCENT,3,2022-12-17,,0,0,USA,1
MSO,V0170,Heritage Conference Group Holdings 2850,HERITAGE,3,2025-11-28,,0,0,USA,1
FDN,V0170,Heritage Conference Group Holdings 2850,HERITAGE,3,2025-11-28,,0,0,USA,1
FDN,V0171,Dominion Clinical Reagents Holdings 2808,DOMINION,3,2022-04-30,,0,0,USA,1
MSO,V0172,Liberty Environmental Svcs LP 0733,LIBERTY,3,2023-06-28,,0,0,GBR,1
MSO,V0173,Ironwood Clinical Reagents LLC 0363,IRONWOOD,3,2023-10-23,,0,0,USA,1
FDN,V0173,Ironwood Clinical Reagents LLC 0363,IRONWOOD,3,2023-10-23,,0,0,USA,1
FDN,V0174,Crescent Hospitality Group Holdings 0327,CRESCENT,3,2023-06-05,,0,0,JPN,1
MSO,V0175,Pinnacle Diagnostics LLC 1694,PINNACLE,3,2023-10-21,,0,0,USA,1
MSO,V0176,Integrated Biologics Corp 0759,INTEGRATED,3,2025-03-16,,0,0,USA,1
MSO,V0177,Evergreen Software Solutions Inc 1974,EVERGREEN,3,2019-01-27,,0,0,USA,1
FDN,V0177,Evergreen Software Solutions Inc 1974,EVERGREEN,3,2019-01-27,,0,0,USA,1
MSO,V0178,Trinity Utility Services LLC 2591,TRINITY,3,2025-03-11,,0,0,USA,1
FDN,V0178,Trinity Utility Services LLC 2591,TRINITY,3,2025-03-11,,0,0,USA,1
MSO,V0179,Crescent Business Products Ltd 1854,CRESCENT,3,2025-05-09,,0,0,USA,1
MSO,V0180,Sterling Locum Partners Corp 3215,STERLING,3,2025-04-29,,0,0,USA,1
MSO,V0181,Premier Supply Company Co 3298,PREMIER,3,2021-07-29,,0,0,USA,1
FDN,V0182,Liberty Business Products Co 0804,LIBERTY,3,2023-01-30,,0,0,USA,1
MSO,V0183,Vertex Environmental Svcs Holdings 2216,VERTEX,3,2021-06-21,2023-02-26,8,2023,USA,1
FDN,V0184,Vanguard Laboratory Supply Group 0395,VANGUARD,3,2024-11-17,,0,0,NLD,1
MSO,V0185,Granite Workforce Solutions Group 2286,GRANITE,3,2021-11-05,,0,0,USA,1
FDN,V0186,Liberty Partners LLP LP 0730,LIBERTY,3,2021-03-11,,0,0,CHE,1
FDN,V0187,Integrated Data Systems Co 3395,INTEGRATED,3,2023-10-18,,0,0,USA,1
FDN,V0188,Beacon RX Wholesale LP 2349,BEACON,3,2019-05-07,,0,0,IND,1
MSO,V0189,Harbor Clinical Staffing Ltd 0305,HARBOR,3,2021-08-19,,0,0,USA,1
FDN,V0190,Summit Clinical Reagents Holdings 2219,SUMMIT,3,2020-06-11,,0,0,USA,1
FDN,V0191,Integrated Conference Group Inc 1148,INTEGRATED,3,2021-08-13,,0,0,USA,1
FDN,V0192,Ironwood Laboratory Supply Corp 0609,IRONWOOD,3,2022-02-20,,0,0,USA,1
MSO,V0193,Metro Diagnostics Group 1414,METRO,3,2019-06-12,,0,0,USA,1
MSO,V0194,Continental Print Services Co 1475,CONTINENTA,3,2025-01-19,,0,0,USA,1
FDN,V0195,Evergreen Diagnostics Corp 1125,EVERGREEN,3,2021-11-30,,0,0,USA,1
MSO,V0196,Continental Diagnostics Corp 0074,CONTINENTA,3,2021-07-06,,0,0,USA,1
FDN,V0197,Sterling Consulting Group Inc 3404,STERLING,3,2020-01-18,,0,0,USA,1
MSO,V0198,Lakeshore Print Services LLC 0656,LAKESHORE,3,2025-12-20,,0,0,USA,1
MSO,V0199,Granite Diagnostics LP 0347,GRANITE,3,2024-12-26,,0,0,USA,1
FDN,V0200,United Clinical Reagents Inc 3388,UNITED,3,2022-05-16,,0,0,USA,1
MSO,V0201,Riverside Healthcare Staffing LP 3202,RIVERSIDE,3,2021-05-05,,0,0,NLD,1
MSO,V0202,Frontier Utility Services Corp 0443,FRONTIER,3,2022-04-09,,0,0,USA,1
MSO,V0203,Harbor Mechanical Group LP 0879,HARBOR,3,2025-09-21,,0,0,JPN,1
FDN,V0203,Harbor Mechanical Group LP 0879,HARBOR,3,2025-09-21,,0,0,JPN,1
FDN,V0204,Pinnacle Diagnostics Corp 2878,PINNACLE,3,2020-07-19,,0,0,NLD,1
MSO,V0205,Apex RX Wholesale LP 2157,APEX,3,2023-10-16,,0,0,USA,1
FDN,V0205,Apex RX Wholesale LP 2157,APEX,3,2023-10-16,,0,0,USA,1
MSO,V0206,Advanced Lab Solutions Group 2499,ADVANCED,3,2025-04-28,,0,0,USA,1
MSO,V0207,Ironwood Diagnostics LP 2101,IRONWOOD,3,2024-04-16,,0,0,USA,1
FDN,V0207,Ironwood Diagnostics LP 2101,IRONWOOD,3,2024-04-16,,0,0,USA,1
MSO,V0208,Horizon Associates Inc 0119,HORIZON,3,2025-02-02,,0,0,USA,1
FDN,V0208,Horizon Associates Inc 0119,HORIZON,3,2025-02-02,,0,0,USA,1
MSO,V0209,United Diagnostics LP 2353,UNITED,3,2025-08-19,,0,0,USA,1
FDN,V0210,Lakeshore Property Mgmt Corp 1138,LAKESHORE,3,2019-06-03,,0,0,USA,1
FDN,V0211,Brightline Advisory Partners Corp 1845,BRIGHTLINE,3,2020-09-02,,0,0,USA,1
FDN,V0212,Apex Partners LLP Inc 0105,APEX,3,2020-01-05,,0,0,USA,1
MSO,V0213,Advanced Diagnostics Ltd 2288,ADVANCED,3,2022-12-20,,0,0,USA,1
