spend_rank,vendor_code,vendor_name,total_spend,paid_lines,pct_of_total,running_pct_of_total
50,V1456,Meridian Pharma Distribution Corp 1716,24802292.08,123,0.343,72.2111
51,V1205,United Pharmaceuticals Inc 1674,24485115.27,89,0.3386,72.5497
52,V2512,Reliable Technology Group LLC 2707,23248458.55,160,0.3215,72.8713
53,V3462,Liberty Supply Company LLC 3281,23131678.11,106,0.3199,73.1912
54,V0254,Continental Clinical Reagents Corp 0257,23117519.46,96,0.3197,73.5109
55,V1391,Ironwood Events Management Corp 2879,22583948.52,86,0.3124,73.8233
56,V0994,Cornerstone Medical Devices Corp 0535,22332798.31,115,0.3089,74.1322
57,V2021,Evergreen Consulting Group Corp 1561,22285610.25,138,0.3082,74.4404
58,V1377,Meridian Associates Holdings 1523,22203238.38,151,0.3071,74.7475
59,V3154,Integrated Medical Devices Inc 1214,21352309.33,100,0.2953,75.0428
60,V0741,Keystone Biologics Co 2964,19758268.05,98,0.2733,75.3161
61,V2626,Advanced Technology Group Inc 3461,18598332.55,158,0.2572,75.5733
62,V0406,Metro Print Services Inc 0933,17790850.65,80,0.2461,75.8194
63,V2859,Atlas Staffing Group Group 1812,17774994.88,97,0.2458,76.0652
64,V0286,Liberty Cloud Services LP 2150,17334815.7,101,0.2398,76.3049
65,V3048,Coastal Partners LLP Co 2514,17188072.23,136,0.2377,76.5427
66,V2231,Reliable BioSupply Holdings 1764,17104468.32,147,0.2366,76.7792
67,V1097,Cardinal Implant Solutions Corp 1601,16993903.03,160,0.235,77.0143
68,V1930,Meridian Software Solutions LLC 2585,16819660.29,143,0.2326,77.2469
69,V1132,Trinity Environmental Svcs Ltd 1904,16546317.95,131,0.2288,77.4757
70,V0841,Advanced Drug Supply LLC 1514,15664593.43,104,0.2167,77.6924
71,V3351,Dominion Pharma Distribution Co 2774,15598017.89,144,0.2157,77.9081
72,V1073,Highland Cloud Services Group 3431,15411317.43,133,0.2131,78.1213
73,V1256,Integrated Office Supply Ltd 2490,15212084.66,84,0.2104,78.3317
74,V3451,Trinity Partners LLP Co 0534,14961589.99,133,0.2069,78.5386
75,V3034,Advanced BioSupply Ltd 0484,14538566.5,92,0.2011,78.7397
76,V1339,Coastal Business Products Holdings 2724,14340745.46,90,0.1983,78.938
77,V1851,Harbor Clinical Reagents Inc 2110,13944077.7,142,0.1929,79.1309
78,V0922,Vanguard Print Services Co 1592,13711247.06,138,0.1896,79.3205
79,V0068,Meridian Clinical Reagents Inc 0547,12795868.86,82,0.177,79.4975
80,V0385,Coastal Technology Group Holdings 1288,12749001.81,68,0.1763,79.6738
81,V2333,Coastal Office Supply LP 1939,12746236.55,133,0.1763,79.8501
82,V0140,Sterling Pharma Distribution Holdings 0000,12655014.66,128,0.175,80.0251
83,V0766,Southpoint RX Wholesale Ltd 1737,12563937.71,90,0.1738,80.1989
84,V2106,Apex Healthcare Staffing Ltd 3058,12545401.07,79,0.1735,80.3724
85,V2206,Ironwood Associates Holdings 2577,12531464.03,79,0.1733,80.5457
86,V0069,Coastal Drug Supply Group 2704,12450867.63,79,0.1722,80.7179
87,V0519,Granite Pharmaceuticals Corp 0491,12415861.15,93,0.1717,80.8897
88,V2313,Allied Data Systems Corp 0872,12306386.83,88,0.1702,81.0599
89,V2514,Allied Drug Supply LP 0192,12149358.03,86,0.168,81.2279
90,V1884,Vanguard Staffing Group Corp 0352,12101784.62,127,0.1674,81.3953
91,V2495,Regional Business Products LP 0566,11999708.93,75,0.166,81.5612
92,V1154,Highland Diagnostics Ltd 2279,11862898.61,83,0.1641,81.7253
93,V1703,Ironwood Lab Solutions Holdings 1251,11838729.66,77,0.1637,81.889
94,V0486,Paramount Software Solutions Holdings 1999,11783366.93,78,0.163,82.052
95,V3263,Heritage Drug Supply Corp 0359,11657444.06,77,0.1612,82.2133
96,V1369,Advanced Medical Devices LP 0950,11612663.72,76,0.1606,82.3739
97,V2448,National Health IT Ltd 2735,11510632.65,90,0.1592,82.5331
98,V1617,Brightline Pharma Distribution Corp 0208,11401182.69,89,0.1577,82.6908
99,V0920,Crescent Environmental Svcs Holdings 1669,11395766.21,86,0.1576,82.8484
100,V0299,United Staffing Group Corp 0315,11030409.0,73,0.1526,83.0009
101,V0036,Meridian MedTech Inc 2918,10757445.19,78,0.1488,83.1497
102,V3395,Frontier Clinical Staffing Co 1971,10732857.21,78,0.1484,83.2981
103,V2358,Beacon Mechanical Group Group 3427,10579595.26,77,0.1463,83.4445
104,V2998,Cardinal Implant Solutions Group 1278,10549554.03,76,0.1459,83.5904
105,V2254,Paramount Advisory Partners Co 1795,10358676.71,80,0.1433,83.7336
106,V3193,Apex Environmental Svcs Ltd 2772,10054983.58,65,0.1391,83.8727
107,V2997,Ironwood Associates Inc 2558,10036714.26,120,0.1388,84.0115
108,V0120,Precision Advisory Partners Co 0833,9916769.15,78,0.1372,84.1487
109,V2212,Vanguard Health IT Inc 2597,9796341.6,131,0.1355,84.2842
110,V0395,Regional RX Wholesale Co 1608,9465872.55,68,0.1309,84.4151
111,V0423,Cascade Biologics Ltd 2069,9254195.9,104,0.128,84.5431
112,V0035,Paramount Property Mgmt Group 0531,9134412.94,60,0.1263,84.6694
113,V3386,Pinnacle Professional Services Inc 0093,8718693.03,77,0.1206,84.79
114,V3292,Sentinel Staffing Group Co 0113,8675336.62,68,0.12,84.91
115,V2241,Frontier Diagnostics Supply Corp 2826,8465335.59,109,0.1171,85.0271
116,V2435,Allied Partners LLP LLC 0489,8450373.36,82,0.1169,85.1439
117,V1734,Integrated Clinical Reagents Inc 3232,8438492.13,70,0.1167,85.2607
118,V1455,Continental Clinical Reagents Corp 2451,8245304.89,63,0.114,85.3747
119,V3105,Advanced Advisory Partners Corp 1527,7961958.07,123,0.1101,85.4848
120,V0763,Precision Biologics Group 1797,7943451.87,103,0.1099,85.5947
121,V3399,Horizon Partners LLP LLC 2891,7920833.59,68,0.1096,85.7042
122,V0368,Integrated Professional Services Corp 3125,7667952.42,118,0.1061,85.8103
123,V0938,United Medical Devices LP 1071,7461434.05,82,0.1032,85.9135
124,V1743,Continental RX Wholesale Ltd 3456,7394183.39,69,0.1023,86.0157
125,V2486,Trinity Cloud Services Ltd 1060,7348386.8,71,0.1016,86.1174
126,V0133,Trinity Professional Services Ltd 0589,7299682.51,69,0.101,86.2183
127,V2899,Highland Professional Services Corp 3465,7058552.76,105,0.0976,86.316
128,V0555,National Pharmaceuticals Corp 2690,6944047.6,81,0.096,86.412
129,V2409,Harbor Clinical Reagents Ltd 1834,6865648.51,107,0.095,86.507
130,V0790,Heritage Associates LP 0304,6859901.79,70,0.0949,86.6018
131,V2599,Metro Lodging Partners Inc 0266,6784495.12,64,0.0938,86.6957
132,V0330,Granite Lab Solutions Ltd 1945,6591645.67,64,0.0912,86.7868
133,V1568,Pinnacle Pharmaceuticals LLC 2327,6456655.05,64,0.0893,86.8761
134,V2870,Coastal Pharma Distribution LP 0820,6374279.76,62,0.0882,86.9643
135,V1281,Coastal Laboratory Supply Inc 1748,6358302.03,69,0.0879,87.0522
136,V1880,Sterling Environmental Svcs Group 3241,6352029.49,70,0.0879,87.1401
137,V1547,Northgate Lab Solutions Holdings 1074,6260832.67,124,0.0866,87.2267
138,V1714,Lakeshore Supply Company LLC 3385,6235903.39,56,0.0862,87.3129
139,V0516,Frontier Implant Solutions Ltd 2790,6126337.19,53,0.0847,87.3977
140,V0097,Meridian Software Solutions Co 2833,6124971.15,68,0.0847,87.4824
141,V3340,Vanguard Mechanical Group Ltd 0684,6067079.59,79,0.0839,87.5663
142,V0785,Integrated Gas Company LLC 1557,5996837.22,68,0.0829,87.6492
143,V1664,Lakeshore Medical Devices Holdings 0915,5887488.86,63,0.0814,87.7307
144,V0218,Cascade Surgical Systems Corp 1589,5843803.7,92,0.0808,87.8115
145,V2326,Premier Water Authority LLC 3467,5822598.1,102,0.0805,87.892
146,V3496,Horizon Business Products LP 0091,5814242.23,63,0.0804,87.9724
147,V2604,Horizon Locum Partners Co 1762,5796270.0,109,0.0802,88.0526
148,V0845,Meridian Biologics LLC 0676,5703268.78,102,0.0789,88.1315
149,V2017,Crescent BioSupply Co 1662,5697899.77,70,0.0788,88.2103
150,V1498,Cascade Partners LLP Corp 1595,5667402.83,65,0.0784,88.2887
151,V2972,Vanguard Partners LLP LP 1995,5638884.18,76,0.078,88.3667
152,V1929,Highland Drug Supply Co 2207,5630737.86,74,0.0779,88.4445
153,V0478,Trinity Professional Services Co 2261,5509294.48,67,0.0762,88.5207
154,V0337,Bluegrass RX Wholesale Co 0275,5500258.98,56,0.0761,88.5968
155,V3069,Sterling Healthcare Staffing Inc 1745,5467433.13,62,0.0756,88.6724
156,V2246,Coastal MedTech Holdings 1551,5457657.02,101,0.0755,88.7479
157,V2444,Reliable Environmental Svcs LP 0180,5456725.2,103,0.0755,88.8234
158,V3270,Continental MedTech Inc 2252,5454039.06,58,0.0754,88.8988
159,V1893,Riverside Mechanical Group Holdings 1386,5428207.9,57,0.0751,88.9739
160,V2229,Liberty Drug Supply Ltd 2136,5254460.72,71,0.0727,89.0466
161,V1825,Southpoint Clinical Staffing Holdings 1521,5204854.37,54,0.072,89.1185
162,V2126,Frontier Cloud Services Group 2643,5173698.44,88,0.0716,89.1901
163,V3044,Sentinel Health IT Corp 1401,5040775.96,54,0.0697,89.2598
164,V1159,Heritage Health IT LP 3277,5000027.57,88,0.0692,89.329
165,V0057,Crescent Data Systems Holdings 1343,4927560.56,56,0.0682,89.3971
166,V2463,Allied Pharmaceuticals Group 2804,4872261.82,105,0.0674,89.4645
167,V3023,National Building Maintenance Corp 0906,4855912.57,64,0.0672,89.5317
168,V2427,United Biologics LP 1299,4848560.16,65,0.0671,89.5987
169,V0355,Heritage Building Maintenance Ltd 2993,4707107.2,57,0.0651,89.6638
170,V1804,Evergreen Associates Group 1454,4703204.68,63,0.065,89.7289
171,V2342,Meridian Pharma Distribution Ltd 0836,4693208.23,91,0.0649,89.7938
172,V3004,Highland Locum Partners LP 2254,4692065.3,100,0.0649,89.8587
173,V1839,Riverside Staffing Group Corp 0894,4637289.69,59,0.0641,89.9228
174,V2078,Keystone Surgical Systems Inc 2134,4554315.96,67,0.063,89.9858
175,V2851,Cascade Technology Group Corp 1798,4491558.35,97,0.0621,90.0479
176,V0647,Metro Pharma Distribution Ltd 0789,4454599.36,87,0.0616,90.1095
177,V1221,Vanguard RX Wholesale Co 0847,4421675.11,55,0.0612,90.1707
178,V2880,Cascade RX Wholesale LLC 2324,4417950.17,60,0.0611,90.2318
179,V3403,Northgate Environmental Svcs LLC 2919,4268773.36,44,0.059,90.2908
180,V2575,Southpoint Property Mgmt Co 1696,4192931.76,59,0.058,90.3488
181,V1715,Precision Laboratory Supply Corp 3459,4191127.95,60,0.058,90.4068
182,V3117,Ironwood Diagnostics Co 3009,4159447.32,62,0.0575,90.4643
183,V0979,Integrated Facilities Services LLC 3321,4137854.74,49,0.0572,90.5216
184,V0850,Horizon Water Authority Holdings 0018,4129299.03,61,0.0571,90.5787
185,V1010,Reliable Facilities Services Group 3223,4106339.21,107,0.0568,90.6355
186,V0468,Regional Conference Group Corp 2258,4104799.55,102,0.0568,90.6922
187,V3345,Northgate Mechanical Group Group 3490,4097409.94,97,0.0567,90.7489
188,V2045,Bluegrass Gas Company Corp 2256,4067967.18,53,0.0563,90.8052
189,V3220,Sentinel Laboratory Supply LLC 1103,4035557.39,88,0.0558,90.861
190,V0263,Evergreen BioSupply Co 0560,4033484.24,69,0.0558,90.9168
191,V0671,Beacon Implant Solutions Ltd 2760,4020416.91,66,0.0556,90.9724
192,V2225,Beacon Supply Company Ltd 2200,4019542.74,63,0.0556,91.028
193,V0264,Bluegrass Diagnostics Holdings 1869,3977872.45,53,0.055,91.083
194,V1749,Lakeshore Property Mgmt Co 0943,3953816.29,55,0.0547,91.1377
195,V1113,Cascade Partners LLP Inc 0878,3944797.24,87,0.0546,91.1922
196,V2640,Reliable MedTech Co 0393,3890714.62,85,0.0538,91.246
197,V1087,Riverside Staffing Group Corp 0565,3863762.52,91,0.0534,91.2995
198,V3021,Horizon Cloud Services Corp 3161,3852935.19,82,0.0533,91.3528
199,V3066,Vertex Data Systems LLC 1975,3821192.22,57,0.0528,91.4056
200,V1053,United Lab Solutions Group 0120,3759952.64,62,0.052,91.4576
201,V1012,Cascade Associates Holdings 3435,3738839.83,60,0.0517,91.5093
202,V0067,Apex Facilities Services Co 3099,3735021.55,84,0.0517,91.561
203,V2130,Meridian Biologics Ltd 0314,3734678.55,88,0.0517,91.6126
204,V1784,Brightline Medical Devices Ltd 2343,3710585.75,92,0.0513,91.664
205,V1190,Horizon Professional Services Group 3315,3639431.98,53,0.0503,91.7143
206,V1449,Sentinel Consulting Group LP 0445,3629256.65,83,0.0502,91.7645
207,V1101,United Drug Supply Corp 2781,3540431.82,80,0.049,91.8135
208,V0004,Metro Consulting Group Ltd 2901,3502182.09,63,0.0484,91.8619
209,V2202,Coastal Hospitality Group LLC 2120,3474694.77,93,0.0481,91.9099
210,V3376,Precision Health IT Corp 2285,3474578.46,46,0.0481,91.958
211,V0730,Lakeshore Environmental Svcs LLC 3116,3441213.17,117,0.0476,92.0056
212,V0798,Keystone Implant Solutions Ltd 3047,3412942.88,82,0.0472,92.0528
213,V1777,Sentinel Clinical Staffing Corp 2038,3393374.26,87,0.0469,92.0997
214,V2156,Beacon General Supply LLC 3124,3379586.64,56,0.0467,92.1465
215,V2823,Horizon Biologics LLC 2756,3323957.91,54,0.046,92.1924
216,V0501,Paramount Clinical Staffing Group 1087,3237620.4,72,0.0448,92.2372
217,V1812,Regional Technology Group LLC 2427,3211971.09,68,0.0444,92.2817
218,V0089,Keystone MedTech Inc 3292,3206835.1,50,0.0444,92.326
219,V2849,Highland Workforce Solutions LLC 3413,3192528.13,58,0.0442,92.3702
220,V0124,Advanced Software Solutions Inc 2987,3109083.89,51,0.043,92.4132
221,V2662,Regional Cloud Services LLC 2513,3077060.84,43,0.0426,92.4557
222,V2291,Metro Power & Light Holdings 2942,3049580.98,84,0.0422,92.4979
223,V2995,Bluegrass Facilities Services LLC 2400,3041881.49,58,0.0421,92.54
224,V3100,Ironwood Medical Devices Holdings 1758,2999358.31,82,0.0415,92.5815
225,V3348,Vertex Professional Services LLC 1616,2940911.0,44,0.0407,92.6221
226,V0065,Summit Partners LLP Corp 1520,2935621.87,80,0.0406,92.6627
227,V1991,Apex RX Wholesale Inc 2829,2931277.44,77,0.0405,92.7033
228,V2376,Premier Surgical Systems Co 3351,2929871.62,78,0.0405,92.7438
229,V2566,Heritage Data Systems Co 0673,2866031.79,43,0.0396,92.7834
230,V2979,Harbor Locum Partners Inc 0604,2813168.19,87,0.0389,92.8223
231,V1428,Pinnacle Pharma Distribution LLC 0842,2805865.9,85,0.0388,92.8611
232,V2886,Regional BioSupply Corp 3118,2793203.7,42,0.0386,92.8998
233,V2901,Regional Cloud Services Ltd 1549,2746092.83,87,0.038,92.9378
234,V2547,Apex Utility Services Holdings 0979,2731571.17,92,0.0378,92.9755
235,V2195,Horizon Professional Services LP 1472,2729939.87,52,0.0378,93.0133
236,V2607,Vanguard Partners LLP Group 1423,2626437.97,54,0.0363,93.0496
237,V1538,Trinity Workforce Solutions Ltd 2269,2567319.61,70,0.0355,93.0851
238,V0245,Southpoint Partners LLP Corp 1248,2561958.35,48,0.0354,93.1206
239,V0628,Vertex Pharmaceuticals Group 2086,2525791.9,47,0.0349,93.1555
240,V2100,Frontier BioSupply Holdings 2045,2500193.77,74,0.0346,93.1901
241,V1985,Horizon Professional Services Corp 1155,2499923.69,74,0.0346,93.2247
242,V3162,Meridian Water Authority Group 0255,2490145.74,46,0.0344,93.2591
243,V0301,Brightline Healthcare Staffing LLC 1875,2477876.21,46,0.0343,93.2934
244,V2676,Apex Property Mgmt Inc 0724,2448147.84,57,0.0339,93.3272
245,V3495,Allied Implant Solutions LP 0703,2395467.85,51,0.0331,93.3604
246,V1602,Integrated Implant Solutions LLC 0984,2362315.1,37,0.0327,93.393
247,V2433,Paramount Advisory Partners Holdings 2189,2348476.84,41,0.0325,93.4255
248,V1267,Keystone Diagnostics Holdings 0867,2334853.48,68,0.0323,93.4578
249,V0833,Allied Cloud Services Co 0203,2322347.95,35,0.0321,93.4899
250,V0894,Horizon Pharmaceuticals Holdings 2937,2317615.65,58,0.0321,93.522
251,V3332,Evergreen BioSupply Holdings 0914,2315892.24,66,0.032,93.554
252,V0652,Reliable Office Supply Corp 3453,2273587.59,50,0.0314,93.5854
253,V1562,Apex Advisory Partners LP 2962,2258939.74,50,0.0312,93.6167
254,V0692,Advanced Print Services Group 1550,2242493.29,73,0.031,93.6477
255,V1000,Cascade BioSupply Inc 0834,2238139.53,41,0.031,93.6787
256,V3397,Evergreen Drug Supply Group 1772,2228320.09,50,0.0308,93.7095
257,V1496,Apex Partners LLP Holdings 1455,2211840.97,40,0.0306,93.7401
258,V2389,United Clinical Staffing LP 1306,2160376.48,45,0.0299,93.77
259,V0537,Granite Mechanical Group Corp 0753,2153201.49,39,0.0298,93.7997
260,V1105,Cascade Diagnostics Holdings 2717,2147412.98,58,0.0297,93.8294
261,V2147,Northgate Pharma Distribution Corp 1266,2099067.53,52,0.029,93.8585
262,V3199,Bluegrass Surgical Systems Inc 2167,2085909.77,43,0.0288,93.8873
263,V3369,Cardinal Diagnostics Co 2796,2077518.24,46,0.0287,93.916
264,V1171,Continental Software Solutions Ltd 0244,2059540.26,69,0.0285,93.9445
265,V0496,Continental Building Maintenance LLC 2176,2035934.74,55,0.0282,93.9727
266,V3300,Frontier Drug Supply Holdings 3415,2025236.6,42,0.028,94.0007
267,V1434,Riverside Diagnostics Group 2991,2015301.3,43,0.0279,94.0286
268,V0760,Allied Building Maintenance Corp 1614,1997286.07,64,0.0276,94.0562
269,V0249,Allied Technology Group LLC 1978,1993430.43,75,0.0276,94.0838
270,V2619,Allied Print Services Inc 0620,1987030.57,82,0.0275,94.1112
271,V3303,Keystone Lab Solutions Group 2175,1981192.3,55,0.0274,94.1387
272,V2152,Cascade Pharmaceuticals Co 3061,1972213.16,35,0.0273,94.1659
273,V0916,Lakeshore Lodging Partners LP 1870,1956233.3,44,0.0271,94.193
274,V0890,Cascade Associates Inc 1042,1954704.47,71,0.027,94.22
275,V0236,Meridian Print Services Holdings 2927,1951097.96,44,0.027,94.247
276,V2906,Granite Partners LLP LLC 2731,1931833.37,49,0.0267,94.2737
277,V1315,Summit Pharmaceuticals Ltd 2872,1925837.35,39,0.0266,94.3004
278,V3287,Evergreen Associates LLC 1719,1900322.61,49,0.0263,94.3266
279,V0792,National Software Solutions Ltd 1189,1884271.83,76,0.0261,94.3527
280,V0536,Cardinal Medical Devices Holdings 2054,1882767.26,82,0.026,94.3787
281,V1564,Cardinal Events Management Corp 3409,1857086.27,47,0.0257,94.4044
282,V2666,Riverside Print Services Inc 0348,1850787.54,64,0.0256,94.43
283,V0970,Atlas Medical Devices Corp 0397,1840355.13,83,0.0255,94.4555
284,V2964,Granite Professional Services LLC 2319,1821355.94,79,0.0252,94.4807
285,V1963,Continental Partners LLP LLC 0095,1817889.57,67,0.0251,94.5058
286,V0362,Evergreen Surgical Systems Corp 3026,1802392.61,39,0.0249,94.5307
287,V1382,Beacon Biologics Inc 2079,1797160.97,38,0.0249,94.5556
288,V1227,National Environmental Svcs Co 2739,1768196.75,37,0.0245,94.5801
289,V1299,Beacon Clinical Staffing Ltd 1446,1734457.94,47,0.024,94.604
290,V2010,Pinnacle Partners LLP LP 0539,1725838.97,58,0.0239,94.6279
291,V3277,Paramount Environmental Svcs Inc 2006,1706171.27,45,0.0236,94.6515
292,V0805,Brightline Diagnostics LLC 1294,1685513.17,79,0.0233,94.6748
293,V0208,Horizon Associates Inc 0119,1673172.51,63,0.0231,94.698
294,V1322,Precision Property Mgmt Co 1819,1666931.0,47,0.0231,94.721
295,V1122,Bluegrass Implant Solutions Ltd 1036,1666707.36,68,0.0231,94.7441
296,V0319,Reliable Diagnostics Supply LLC 0076,1654997.99,38,0.0229,94.767
297,V0924,Pinnacle Mechanical Group Group 1846,1652234.7,37,0.0229,94.7898
298,V3250,Reliable Building Maintenance Corp 2621,1626299.29,47,0.0225,94.8123
299,V0066,Integrated Property Mgmt LLC 1658,1623120.93,63,0.0224,94.8347
300,V2169,Riverside BioSupply LP 0522,1614993.76,43,0.0223,94.8571
301,V2783,Ironwood Associates Inc 0240,1604578.29,64,0.0222,94.8793
302,V1501,Frontier Professional Services Co 2931,1588170.25,40,0.022,94.9012
303,V1954,Reliable Water Authority LP 1413,1571042.29,57,0.0217,94.923
304,V0728,Cardinal Biologics LP 1626,1560538.15,67,0.0216,94.9446
305,V1466,Southpoint Partners LLP Corp 0742,1559749.35,43,0.0216,94.9661
306,V2107,Integrated Workforce Solutions LP 2701,1554372.74,46,0.0215,94.9876
307,V1646,National Facilities Services Corp 2525,1553206.49,70,0.0215,95.0091
308,V3057,Southpoint Advisory Partners Ltd 0648,1550072.46,39,0.0214,95.0305
309,V1246,Continental Laboratory Supply Inc 0865,1549812.79,44,0.0214,95.052
310,V1323,Coastal RX Wholesale LLC 1185,1536887.13,68,0.0213,95.0732
311,V1763,Brightline Surgical Systems Co 2034,1536415.56,73,0.0212,95.0945
312,V3494,Advanced Associates Holdings 2140,1530505.36,38,0.0212,95.1157
313,V0338,Crescent Staffing Group Group 3142,1524639.4,65,0.0211,95.1367
314,V0946,Precision Laboratory Supply Corp 1583,1519602.97,41,0.021,95.1578
315,V3454,Keystone Drug Supply Ltd 2190,1507139.4,40,0.0208,95.1786
316,V1610,Apex Technology Group LLC 0960,1480391.48,41,0.0205,95.1991
317,V1807,Regional Drug Supply Co 2567,1477765.59,33,0.0204,95.2195
318,V2725,Frontier Implant Solutions Co 0085,1472013.02,47,0.0204,95.2399
319,V1776,Keystone Facilities Services LLC 0360,1454759.74,45,0.0201,95.26
320,V1290,Integrated Facilities Services Holdings 1928,1454679.9,48,0.0201,95.2801
321,V2904,Evergreen Gas Company Inc 1213,1447636.88,41,0.02,95.3001
322,V1972,Frontier Power & Light LLC 0593,1405971.97,58,0.0194,95.3196
323,V0636,Frontier Medical Devices Ltd 1760,1397639.95,60,0.0193,95.3389
324,V2066,Highland Conference Group Group 2664,1387505.95,37,0.0192,95.3581
325,V0509,Coastal Building Maintenance Holdings 2059,1370424.74,70,0.019,95.3771
326,V1943,Heritage Cloud Services LLC 1713,1369418.31,65,0.0189,95.396
327,V1335,Ironwood Utility Services Co 2062,1366873.14,61,0.0189,95.4149
328,V0083,Southpoint Print Services Inc 0114,1356780.46,38,0.0188,95.4337
329,V1402,Horizon Pharma Distribution LLC 2667,1355651.57,38,0.0187,95.4524
330,V1337,Crescent Diagnostics Co 0094,1351874.44,36,0.0187,95.4711
331,V1032,Reliable Healthcare Staffing Group 1943,1343598.7,41,0.0186,95.4897
332,V1938,Ironwood Consulting Group Inc 0474,1342153.68,48,0.0186,95.5083
333,V1835,Lakeshore Diagnostics Group 2373,1334078.08,46,0.0185,95.5267
334,V1717,Northgate Laboratory Supply Holdings 0472,1329147.2,48,0.0184,95.5451
335,V0843,Paramount Mechanical Group Group 2076,1322274.24,60,0.0183,95.5634
336,V2862,Brightline Environmental Svcs Inc 2043,1321175.87,77,0.0183,95.5817
337,V2536,Metro Associates LLC 2631,1318390.41,42,0.0182,95.5999
338,V3307,Highland Drug Supply Co 0032,1318221.39,40,0.0182,95.6181
339,V0682,Riverside Implant Solutions Group 1337,1313137.48,40,0.0182,95.6363
340,V1811,Dominion Clinical Reagents Corp 2436,1299830.97,42,0.018,95.6543
341,V2301,Horizon Lodging Partners Group 2923,1293657.62,66,0.0179,95.6722
